Tested_Number,Função_Simples,Função_Complexa
631000,0.46,0.0129
632000,0.4538,0.013
633000,0.4606,0.0129
634000,0.4569,0.0129
635000,0.4633,0.0129
636000,0.4602,0.013
637000,0.4589,0.013
638000,0.4657,0.0132
639000,0.462,0.0131
640000,0.474,0.0132
641000,0.4816,0.0137
642000,0.4906,0.0132
643000,0.4664,0.0134
644000,0.474,0.0133
645000,0.4842,0.0139
646000,0.483,0.0133
647000,0.4872,0.0135
648000,0.4742,0.0134
649000,0.4726,0.0135
650000,0.5083,0.0139
651000,0.4751,0.0137
652000,0.4807,0.0138
653000,0.4748,0.0139
654000,0.4811,0.014
655000,0.4778,0.014
656000,0.4834,0.0139
657000,0.4794,0.0139
658000,0.4865,0.014
659000,0.4824,0.0139
660000,0.4955,0.0138
661000,0.5004,0.014
662000,0.4914,0.0141
663000,0.4877,0.014
664000,0.4914,0.014
665000,0.4882,0.0142
666000,0.4951,0.0143
667000,0.4919,0.014
668000,0.4962,0.014
669000,0.4948,0.0142
670000,0.5064,0.0145
671000,0.5145,0.0143
672000,0.5017,0.0148
673000,0.4995,0.0143
674000,0.5014,0.0144
675000,0.4986,0.0145
676000,0.5055,0.015
677000,0.5119,0.0151
678000,0.5106,0.0148
679000,0.5027,0.015
680000,0.518,0.0149
681000,0.5052,0.0151
682000,0.5208,0.0149
683000,0.5067,0.0148
684000,0.5146,0.0148
685000,0.5096,0.0149
686000,0.5163,0.015
687000,0.5093,0.0147
688000,0.5243,0.0147
689000,0.5142,0.0179
690000,0.535,0.0146
691000,0.5284,0.0146
692000,0.5161,0.0146
693000,0.5228,0.015
694000,0.52,0.0145
695000,0.5278,0.0145
696000,0.5208,0.0145
697000,0.5294,0.0146
698000,0.525,0.0148
699000,0.536,0.0147
700000,0.5359,0.0153
701000,0.5438,0.0152
702000,0.5639,0.0179
703000,0.5386,0.0153
704000,0.5499,0.0151
705000,0.5318,0.0148
706000,0.5429,0.015
707000,0.5345,0.0151
708000,0.5396,0.0152
709000,0.5578,0.0162
710000,0.5489,0.0155
711000,0.5358,0.0157
712000,0.5438,0.0155
713000,0.5558,0.0158
714000,0.541,0.0159
715000,0.5513,0.0158
716000,0.5434,0.016
717000,0.5516,0.0157
718000,0.547,0.016
719000,0.5537,0.0159
